screen,dose,Drug.Name,repurposing_target,MOA,IDs,combined_targets,citeline_targets,prism_targets,Syns
REP.PRIMARY,2.5,8-BROMO-CGMP,PRKG1,PKA ACTIVATOR,BRD:BRD-A00077618-236-07-6,PRKG1,,,
REP.PRIMARY,2.5,NIFURTIMOX,"",DNA INHIBITOR,BRD:BRD-A00100033-001-08-9,"",NaN,NaN,"mnx100;mnx-100;nifurtimox, metronomx;nifurtimox;nifurtimox (oral, cancers), metronomx"
REP.PRIMARY,2.5,BALAGLITAZONE,PPARG,"INSULIN SENSITIZER, PPAR RECEPTOR PARTIAL AGONIST",BRD:BRD-A00147595-001-01-5,PPARG,"PPARG,","PPARG,",bala;balaglitazone;drf 2593;drf-2593;drf-2593-307;nn2344;nn-2344;nnc-61-0645;nnc-61-2344
REP.PRIMARY,2.5,FLUTRIMAZOLE,"",STEROL DEMETHYLASE INHIBITOR,BRD:BRD-A00218260-001-03-4,NOS1,"NOS1,",",",flusporan;flutrim;flutrimazole;funcenal;micetal;naitral;nitral;topiderm;ur-4056;zilox;2-fluorophenyl carbinol;fpc
REP.PRIMARY,2.5,KBG,MME,NEPRILYSIN INHIBITOR,BRD:BRD-A00376169-001-01-6,MME,",","MME,",bg;kbg
REP.PRIMARY,2.5,OTENZEPAD,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A00520476-001-07-4,"CHRM1,CHRM2,CHRM3,CHRM4,CHRM5","CHRM1,","CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,",af-dx-116;otenzepad
REP.PRIMARY,2.5,BIPERIDEN,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A00546892-001-02-6,"CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CHRNA2",,,
REP.PRIMARY,2.5,ZALTOPROFEN,"",CYCLOOXYGENASE INHIBITOR,BRD:BRD-A00578795-001-04-3,"",",",",",cn-100;peon;soleton;zaltoprofen;zc-102
REP.PRIMARY,2.5,NORETYNODREL,PGR,PROGESTOGEN HORMONE,BRD:BRD-A00758722-001-04-9,PGR,,,
REP.PRIMARY,2.5,DYPHYLLINE,"ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B","ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",BRD:BRD-A00827783-001-24-6,"ADORA1,ADORA2A,PDE3A,PDE4A,PDE4B,PDE4C,PDE4D,PDE7A,PDE7B",NaN,NaN,"diprophylline, elan;dyphylline, elan"
REP.PRIMARY,2.5,ALPRENOLOL,"ADRB1, ADRB2, HTR1A",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A00993607-003-24-6,"ADRB1,ADRB2,HTR1A",,,
REP.PRIMARY,2.5,AZELNIDIPINE,CACNA1C,CALCIUM CHANNEL BLOCKER,BRD:BRD-A01098288-001-02-9,"CACNA1C,AGTR1","CACNA1C,","CACNA1C,",azelnidipine;calblock;cs-905;rs-9054;callblock
REP.PRIMARY,2.5,HYDROXYPROPYL-BETA-CYCLODEXTRIN,"","",BRD:BRD-A01412266-001-01-0,"",,,
REP.PRIMARY,2.5,WB-4101,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1A",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A01493904-003-12-1,"ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,HTR1A,ADRB2","ADRA1A,ADRB2,","ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,HTR1A,",wb-4101
REP.PRIMARY,2.5,CLEVIPREX,"CACNA1C, CACNA1D, CACNA1F, CACNA1S",CALCIUM CHANNEL BLOCKER,BRD:BRD-A01563671-001-02-7,"CACNA1C,CACNA1D,CACNA1F,CACNA1S","CACNA1C,","CACNA1C,CACNA1D,CACNA1F,CACNA1S,",clevelox;clevelox (12hr formulation);clevelox (4hr formulation);clevidipine;clevidipine (12hr formulation);clevidipine (4hr formulation);clevidipine butyrate;clevidipine butyrate (12hr formulation);clevidipine butyrate (4hr formulation);cleviprex;cleviprex (12hr formulation);cleviprex (4hr formulation);h-324/38;h-324/38 (12hr formulation);h-324/38 (4hr formulation);h-152/81
REP.PRIMARY,2.5,CHLORMADINONE-ACETATE,PGR,5 ALPHA REDUCTASE INHIBITOR,BRD:BRD-A01593789-001-03-1,PGR,,,
REP.PRIMARY,2.5,BUPIVACAINE,"KCNA5, PTGER1, SCN10A, SCN4A",SODIUM CHANNEL BLOCKER,BRD:BRD-A01636364-003-15-1,"KCNA5,PTGER1,SCN10A,SCN4A,SCN9A,PTGS2,TBXAS1","SCN9A,",",","levobupivacaine, anesiva;levobupivacaine, celltech-2;levobupivacaine, powderject;chirocaine;d-4115;oral powderject (levobupivacaine), powderject/chiroscience;levobupivacaine;levobupivacaine hydrochloride"
REP.PRIMARY,2.5,PREDNISOLONE-ACETATE,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,BRD:BRD-A01643550-001-04-9,NR3C1,,,
REP.PRIMARY,2.5,NAFTOPIDIL,ADRA1A,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A01787639-003-16-9,ADRA1A,",","ADRA1A,",avishot;bm-15275;bu-15275;eapidil;flivas;fukuzune;kt-611;naftopidil;naftopidil dihydrochloride;naphtopidil
REP.PRIMARY,2.5,FK-33-824,OPRM1,OPIOID RECEPTOR AGONIST,BRD:BRD-A01907367-001-01-7,"OPRM1,OGFR","OGFR,","OPRM1,",damme;fk-32-569;fk-33-824;fk-34-569
REP.PRIMARY,2.5,NITRENDIPINE,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4",CALCIUM CHANNEL BLOCKER,BRD:BRD-A02006392-001-16-4,"CACNA1C,CACNA1D,CACNA1H,CACNA1S,CACNA2D1,CACNA2D2,CACNB2,CACNG1,KCNN4,ACE,ADRB1","ACE,CACNA1C,",",","enalapril + nitrendipine;enalapril + nitrendipine, vita;enalapril/nitrendipine;eneas;nitrendipine + enalapril, vita;baroprine;eneas"
REP.PRIMARY,2.5,BETAMETHASONE,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,BRD:BRD-A02180903-001-04-5,"NR3C1,VDR,OPRM1,PTGS1,PTGS2,TBXAS1",",","NR3C1,","betamethasone, imprimis pharmaceuticals;betamethasone, surface pharmaceuticals;surf 200;surf200;surf-200;surf-201;betamethasone;betamethasone (klarity/eye drops, dry eye disease), surface pharmaceuticals"
REP.PRIMARY,2.5,MEPTAZINOL,BCHE,OPIOID RECEPTOR AGONIST,BRD:BRD-A02710418-003-11-8,BCHE,",","BCHE,",il-22811 hcl;meptazinol;meptid;wy-22811
REP.PRIMARY,2.5,CILNIDIPINE,CACNA1B,CALCIUM CHANNEL BLOCKER,BRD:BRD-A02743701-001-03-6,"CACNA1B,CACNA1C,AGTR1","CACNA1B,CACNA1C,","CACNA1B,",atelec;cilnidipine;cinalong;frc-8653;frg-8653;siscard;todula;zhixin
REP.PRIMARY,2.5,BETAXOLOL,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A02759312-003-24-5,"ADRB1,ADRB2","ADRB1,","ADRB1,ADRB2,","al-1401-02;betabloc, sanofi;betaxol;betaxolol;betaxolol hydrochloride;kerlidex;kerlon;kerlone;kerlong;lokren;midriof;sl-75.212;betoptic;mci-144"
REP.PRIMARY,2.5,LOFEXIDINE,ADRA2A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A02990301-003-06-6,"ADRA2A,ADRB2","ADRA2A,","ADRA2A,","ba-168;britlofex;lofetensin;lofexidine;lofexidine hydrochloride;loxacor;lucemyra;mdl-14042;rmi-14042a;lucemyra;alpha-2-adrenergic agonist (drug dependence), nida/britannia/us worldmeds;lofexidine, nida/britannia/us worldmeds"
REP.PRIMARY,2.5,ALIZAPRIDE,DRD2,DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-A03061970-003-07-3,DRD2,",","DRD2,",alizapride;gastriveran;limican;litican;liticum;lyostene;nausilen;pesalin;plitican;superan;vergentan
REP.PRIMARY,2.5,MEPIVACAINE,SCN10A,"POTASSIUM CHANNEL BLOCKER, SODIUM CHANNEL BLOCKER",BRD:BRD-A03216249-003-24-3,"SCN10A,SCN9A",",","SCN10A,","mepigel;mepivacaine, theraquest bioscience;rel 1021;rel1021;rel-1021;tq 1021;tq1021;tq-1021;mepivacaine;mepivacaine (topical, neuropathic pain), relmada;mepivacaine (topical, neuropathic pain), theraquest"
